,Date,Name / Description,Expense/Income,Amount (EUR),Transaction,Category
2701,2022-07-16 07:27:16.464344,Etsy Purchase,Expense,141.83,Etsy Purchase,Hobbies
2702,2022-07-16 07:59:43.285230,Art Gallery Purchase,Expense,355.51,Art Gallery Purchase,Collectibles
2703,2022-07-16 08:44:23.038808,Bowling Alley,Income,126.52,Bowling Alley,Leisure
2704,2022-07-16 09:25:00.964133,Clothing Store,Income,462.37,Clothing Store,Shopping
2705,2022-07-16 09:33:58.981569,Event Registration,Expense,394.39,,
2706,2022-07-16 10:51:04.966618,Luxury Hotel Stay,Income,95.82,Luxury Hotel Stay,Travel
2707,2022-07-16 14:34:31.850517,Pet Supplies,Expense,139.97,Pet Supplies,Pet Care
2708,2022-07-16 18:30:45.448867,Student Loan Payment,Income,350.9,Student Loan Payment,Loans
2709,2022-07-16 18:49:31.990115,Pharmacy,Income,379.1,Pharmacy,Health and Wellness
2710,2022-07-16 21:05:21.652294,Sporting Event,Income,461.9,Sporting Event,Sport and Fitness
2711,2022-07-16 22:06:39.911259,Golf Club Membership,Expense,480.23,Golf Club Membership,Sport and Fitness
2712,2022-07-16 22:58:44.703737,Consulting Income,Expense,373.0,Consulting Income,Side Gig
2713,2022-07-17 00:53:00.342441,Restaurant Takeout,Income,360.51,Restaurant Takeout,Food and Drinks
2714,2022-07-17 01:08:37.765885,Life Insurance,Expense,55.8,Life Insurance,Insurance
2715,2022-07-17 01:37:32.686312,Photography Service,Expense,71.32,,
2716,2022-07-17 08:55:23.046755,Laundry Service,Expense,288.8,Laundry Service,Household
2717,2022-07-17 11:29:34.345788,Freight Shipping,Expense,459.9,,
2718,2022-07-17 12:32:12.421515,Subscription Box,Income,309.1,Subscription Box,Subscriptions
2719,2022-07-17 14:19:39.201347,Landscaping,Expense,373.6,Landscaping,Yard Maintenance
2720,2022-07-17 14:21:36.739811,Property Tax,Income,494.99,,
2721,2022-07-17 15:02:52.802239,Moving Service,Income,470.97,Moving Service,Moving
2722,2022-07-17 15:17:56.918649,Snowmobile Rental,Income,254.25,Snowmobile Rental,Sport and Fitness
2723,2022-07-17 18:20:24.984190,Event Registration,Income,39.9,,
2724,2022-07-17 21:26:46.329288,Trust Fund Contribution,Expense,137.86,Trust Fund Contribution,Investment
2725,2022-07-17 21:42:05.116117,Retirement Contribution,Income,454.04,Retirement Contribution,Savings
2726,2022-07-17 22:07:07.682976,Online Marketplace,Expense,223.66,Online Marketplace,E-commerce
2727,2022-07-18 01:12:25.098000,Consulting Income,Income,235.53,Consulting Income,Side Gig
2728,2022-07-18 03:53:44.995684,Moving Service,Expense,64.01,Moving Service,Moving
2729,2022-07-18 04:33:07.493832,Luxury Hotel Stay,Income,105.27,Luxury Hotel Stay,Travel
2730,2022-07-18 06:15:17.538320,Wine Subscription,Income,345.5,Wine Subscription,Entertainment Subs
2731,2022-07-18 17:14:42.180385,Health Insurance,Expense,309.65,,
2732,2022-07-18 18:21:28.799836,Bank Service Charge,Income,103.19,Bank Service Charge,Banking Fees
2733,2022-07-18 19:22:06.646837,Water Bill,Income,29.97,Water Bill,Utilities
2734,2022-07-18 20:53:55.397751,Investment Income,Income,398.07,Investment Income,Investments
2735,2022-07-18 21:32:53.753767,Tuition Payment,Expense,75.45,,
2736,2022-07-19 00:38:16.374932,Childcare Services,Expense,369.18,Childcare Services,Family Care
2737,2022-07-19 00:44:54.857078,Car Repair,Expense,234.99,,
2738,2022-07-19 00:53:41.694015,Business Supplies,Expense,376.74,Business Supplies,Office Expenses
2739,2022-07-19 04:49:17.850343,Grocery Delivery,Expense,440.84,Grocery Delivery,Food and Drinks
2740,2022-07-19 05:42:29.627324,Furniture Purchase,Expense,60.09,,
2741,2022-07-19 06:09:42.163927,Home Renovation,Income,261.64,Home Renovation,Home Maintenance
2742,2022-07-19 06:47:34.251291,Grocery Store,Income,289.0,Grocery Store,Food and Drinks
2743,2022-07-19 08:19:32.473406,Furniture Purchase,Income,285.17,,
2744,2022-07-19 09:04:26.529794,Life Insurance,Income,281.48,Life Insurance,Insurance
2745,2022-07-19 11:43:27.059864,Pet Supplies,Expense,344.71,Pet Supplies,Pet Care
2746,2022-07-19 12:04:07.586390,Birthday Gift,Income,143.85,Birthday Gift,Personal
2747,2022-07-19 15:28:59.657593,Prescription Meds,Expense,386.19,Prescription Meds,Health and Wellness
2748,2022-07-19 16:02:17.450313,Consulting Income,Expense,357.44,Consulting Income,Side Gig
2749,2022-07-19 16:14:50.767383,Wedding Gift,Income,137.9,,
2750,2022-07-19 16:34:20.432907,Art Gallery Purchase,Income,419.48,Art Gallery Purchase,Collectibles
2751,2022-07-19 17:15:25.195523,Software Subscription,Expense,219.68,Software Subscription,Software/Purchases
2752,2022-07-19 18:32:34.992181,Consulting Income,Expense,358.17,Consulting Income,Side Gig
2753,2022-07-19 20:30:16.627270,Tuition Payment,Income,27.5,,
2754,2022-07-19 20:56:43.227024,Yoga Class,Expense,258.86,Yoga Class,Fitness
2755,2022-07-19 21:31:52.353144,Vehicle Insurance,Expense,452.02,Vehicle Insurance,Transportation
2756,2022-07-19 22:37:33.051930,Art Gallery Purchase,Income,169.78,Art Gallery Purchase,Collectibles
2757,2022-07-19 23:38:31.942845,Pet Supplies,Expense,279.84,Pet Supplies,Pet Care
2758,2022-07-20 00:46:36.499887,Personal Trainer,Income,367.73,Personal Trainer,Fitness
2759,2022-07-20 01:10:21.858626,Golf Course,Expense,374.52,Golf Course,Sport and Fitness
2760,2022-07-20 03:28:48.579883,Landscaping,Income,234.96,Landscaping,Yard Maintenance
2761,2022-07-20 06:43:44.920977,Internet Bill,Expense,318.91,Internet Bill,Utilities
2762,2022-07-20 06:52:16.062947,Cell Phone Purchase,Income,110.1,Cell Phone Purchase,Electronics
2763,2022-07-20 07:21:08.909536,Laundry Service,Income,324.56,Laundry Service,Household
2764,2022-07-20 07:40:08.544818,Garden Center,Income,35.08,Garden Center,Gardening
2765,2022-07-20 10:44:39.800528,Notary Service,Income,463.97,Notary Service,Services
2766,2022-07-20 14:34:22.347621,Internet Bill,Expense,387.69,Internet Bill,Utilities
2767,2022-07-20 15:11:55.107208,Hiking Gear,Income,398.12,Hiking Gear,Outdoor Activities
2768,2022-07-20 16:37:51.424416,Investment Advisor Fee,Income,388.61,Investment Advisor Fee,Investments
2769,2022-07-20 19:26:20.466187,Freight Shipping,Income,276.55,,
2770,2022-07-20 19:37:42.110367,Flight Ticket,Income,83.78,,
2771,2022-07-21 02:45:58.929765,Art Gallery Purchase,Income,5.7,Art Gallery Purchase,Collectibles
2772,2022-07-21 03:35:45.759949,ATM Fee,Expense,307.44,,
2773,2022-07-21 03:47:29.326975,Doctor Visit,Expense,184.39,Doctor Visit,Health and Wellness
2774,2022-07-21 03:58:03.994534,Business Supplies,Expense,129.27,Business Supplies,Office Expenses
2775,2022-07-21 06:28:38.258940,Water Bill,Income,310.29,Water Bill,Utilities
2776,2022-07-21 09:13:11.303692,Concert Tickets,Expense,254.34,Concert Tickets,Entertainment
2777,2022-07-21 12:19:51.412887,Toll Road Fee,Income,197.37,Toll Road Fee,Transportation
2778,2022-07-21 15:57:42.492675,Natural Gas Bill,Income,236.48,Natural Gas Bill,Utilities
2779,2022-07-21 16:47:25.416782,Golf Course,Expense,172.82,Golf Course,Sport and Fitness
2780,2022-07-22 03:25:18.398208,Pet Supplies,Expense,228.36,Pet Supplies,Pet Care
2781,2022-07-22 04:28:22.099505,Life Insurance,Expense,117.62,Life Insurance,Insurance
2782,2022-07-22 04:57:17.061085,Tattoo Parlor,Expense,262.76,Tattoo Parlor,Entertainment
2783,2022-07-22 04:57:52.399165,Childcare Services,Income,207.45,Childcare Services,Family Care
2784,2022-07-22 05:12:19.835875,Daycare Fees,Expense,260.91,Daycare Fees,Childcare
2785,2022-07-22 05:18:55.783341,Used Car Purchase,Income,159.38,Used Car Purchase,Transportation
2786,2022-07-22 06:43:47.446204,Medical Checkup,Income,174.55,Medical Checkup,Health and Wellness
2787,2022-07-22 06:45:28.759869,Lottery Ticket,Income,324.49,Lottery Ticket,Entertainment
2788,2022-07-22 10:06:26.067309,Sales Tax,Expense,378.72,Sales Tax,Taxes
2789,2022-07-22 11:13:47.806375,Electricity Bill,Income,413.73,Electricity Bill,Utilities
2790,2022-07-22 11:16:56.847049,Wedding Gift,Income,337.86,,
2791,2022-07-22 11:37:40.069204,Income Tax Payment,Expense,409.09,,
2792,2022-07-22 11:53:55.574809,Resume Service,Expense,492.59,Resume Service,Career Development
2793,2022-07-22 17:51:50.246106,Cabin Rental,Income,498.09,Cabin Rental,Vacation
2794,2022-07-22 20:22:15.404454,Medical Expense,Expense,103.95,Medical Expense,Health and Wellness
2795,2022-07-22 23:49:01.814464,Ski Resort,Income,444.41,Ski Resort,Leisure
2796,2022-07-22 23:53:40.528027,Investment Advisor Fee,Expense,246.77,Investment Advisor Fee,Investments
2797,2022-07-23 01:01:23.836235,Hardware Store,Expense,98.11,Hardware Store,Hardware/Paint
2798,2022-07-23 01:38:56.479801,Wire Transfer Fee,Expense,90.73,Wire Transfer Fee,Banking
2799,2022-07-23 02:53:16.349510,Career Counseling,Income,200.65,Career Counseling,Career Development
2800,2022-07-23 07:16:46.452485,Weekend Getaway,Expense,155.0,Weekend Getaway,Travel
2801,2022-07-23 08:44:36.844192,Restaurant Dining,Income,30.71,,
2802,2022-07-23 11:20:52.301133,Business Supplies,Income,52.85,Business Supplies,Office Expenses
2803,2022-07-23 11:51:59.227874,Credit Card Payment,Expense,319.63,Credit Card Payment,Finance
2804,2022-07-23 14:37:32.041742,Grocery Store,Income,158.52,Grocery Store,Food and Drinks
2805,2022-07-23 16:44:19.772404,Overdraft Fee,Expense,283.21,Overdraft Fee,Banking Fees
2806,2022-07-23 21:27:10.184094,Septic Tank Service,Income,481.13,Septic Tank Service,Maintenance
2807,2022-07-24 04:09:45.254344,Overdraft Fee,Expense,385.13,Overdraft Fee,Banking Fees
2808,2022-07-24 05:40:04.977576,Savings Deposit,Expense,77.19,Savings Deposit,Savings
2809,2022-07-24 09:08:27.193486,Consulting Income,Expense,262.85,Consulting Income,Side Gig
2810,2022-07-24 12:10:34.988045,Career Counseling,Expense,74.53,Career Counseling,Career Development
2811,2022-07-24 12:21:21.076245,Phone Accessory,Income,236.45,Phone Accessory,Electronics
2812,2022-07-24 13:27:01.058148,Business Supplies,Income,181.49,Business Supplies,Office Expenses
2813,2022-07-24 13:39:23.327624,Hotel Stay,Expense,292.87,Hotel Stay,Accommodation
2814,2022-07-24 15:07:46.155846,Car Registration,Income,288.0,Car Registration,Vehicle Management
2815,2022-07-24 17:02:35.369122,Consulting Income,Income,68.26,Consulting Income,Side Gig
2816,2022-07-24 17:16:40.305724,Outdoor Equipment,Expense,161.26,,
2817,2022-07-24 17:27:45.159318,Boat Rental,Expense,494.73,Boat Rental,Leisure Activity
2818,2022-07-24 20:23:14.511686,Vacation Home Rental,Expense,255.89,Vacation Home Rental,Accommodation
2819,2022-07-24 22:48:18.243535,Holiday Shopping,Expense,409.48,Holiday Shopping,Shopping
2820,2022-07-25 00:28:50.792774,Digital Download,Income,132.31,Digital Download,Software/Purchases
2821,2022-07-25 01:49:20.312778,Spa Package,Expense,141.66,Spa Package,Relaxation/Leisure
2822,2022-07-25 03:41:06.467525,Wedding Gift,Expense,267.74,,
2823,2022-07-25 04:14:02.781540,Investment Brokerage Fee,Expense,376.97,,
2824,2022-07-25 05:25:45.139215,School Supplies,Income,283.98,School Supplies,Education
2825,2022-07-25 06:19:27.658318,Career Counseling,Expense,219.44,Career Counseling,Career Development
2826,2022-07-25 07:35:35.879992,Camera Equipment,Income,403.8,Camera Equipment,Photography
2827,2022-07-25 10:19:33.819096,New Car Purchase,Expense,11.24,,
2828,2022-07-25 10:37:21.034648,HVAC Maintenance,Income,481.0,,
2829,2022-07-25 11:01:45.460324,Streaming Service,Income,78.36,,
2830,2022-07-25 11:09:53.454707,Yacht Charter,Income,443.29,Yacht Charter,Travel
2831,2022-07-25 13:48:52.837034,Roof Repair,Income,226.44,Roof Repair,Maintenance
2832,2022-07-25 14:38:46.120669,Netflix Subscription,Income,22.62,Netflix Subscription,Entertainment
2833,2022-07-25 15:52:33.417935,Outdoor Equipment,Expense,289.56,,
2834,2022-07-25 17:31:58.706898,Accountant Fees,Income,191.45,Accountant Fees,Services
2835,2022-07-25 17:46:48.282222,Restaurant Dining,Expense,494.75,,
2836,2022-07-25 18:22:29.735961,Hiking Gear,Income,216.22,Hiking Gear,Outdoor Activities
2837,2022-07-25 19:07:00.929508,Credit Report Fee,Expense,377.66,Credit Report Fee,Finance
2838,2022-07-25 20:14:31.189636,Golf Club Membership,Expense,80.33,Golf Club Membership,Sport and Fitness
2839,2022-07-25 23:41:49.260721,Membership Fee,Expense,495.91,Membership Fee,Subscriptions
2840,2022-07-26 00:17:57.201236,Outdoor Equipment,Expense,316.02,,
2841,2022-07-26 01:10:54.471256,Hunting License,Expense,393.91,Hunting License,Leisure
2842,2022-07-26 06:33:48.079342,Funeral Expenses,Expense,436.41,Funeral Expenses,Bereavement
2843,2022-07-26 08:50:40.851670,Vacation Package,Expense,179.61,Vacation Package,Travel
2844,2022-07-26 08:56:15.991410,Snowmobile Rental,Expense,81.02,Snowmobile Rental,Sport and Fitness
2845,2022-07-26 09:37:35.203813,Hotel Stay,Expense,148.76,Hotel Stay,Accommodation
2846,2022-07-26 10:46:21.809925,Spotify Ab By Adyen,Expense,233.25,,
2847,2022-07-26 11:19:03.657971,School Supplies,Expense,401.0,School Supplies,Education
2848,2022-07-26 14:14:27.138438,Foreign Transaction Fee,Income,419.99,Foreign Transaction Fee,Credit Card Fees
2849,2022-07-26 14:45:18.591279,Life Insurance,Expense,476.5,Life Insurance,Insurance
2850,2022-07-26 15:48:22.746136,Hotel Stay,Income,362.97,Hotel Stay,Accommodation
2851,2022-07-26 18:06:53.863594,Court Fees,Expense,459.35,Court Fees,Legal Expenses
2852,2022-07-26 20:10:01.640356,Movie Theater,Expense,214.8,Movie Theater,Entertainment
2853,2022-07-26 20:35:23.294976,Prescription Meds,Expense,462.13,Prescription Meds,Health and Wellness
2854,2022-07-26 22:53:55.922942,Health Insurance,Expense,133.9,,
2855,2022-07-27 02:37:44.639681,Wine Subscription,Expense,459.07,Wine Subscription,Entertainment Subs
2856,2022-07-27 02:54:04.967170,Wire Transfer Fee,Expense,441.33,Wire Transfer Fee,Banking
2857,2022-07-27 04:08:45.007651,Notary Service,Income,465.32,Notary Service,Services
2858,2022-07-27 04:09:18.143015,Savings Deposit,Expense,213.17,Savings Deposit,Savings
2859,2022-07-27 04:58:52.754837,Freelance Work,Expense,250.22,Freelance Work,Business
2860,2022-07-27 05:47:05.190717,Walmart Groceries,Income,461.55,Walmart Groceries,Grocery Shopping
2861,2022-07-27 07:31:19.242851,Funeral Expenses,Income,222.99,Funeral Expenses,Bereavement
2862,2022-07-27 07:32:53.025894,Walmart Groceries,Expense,28.75,Walmart Groceries,Grocery Shopping
2863,2022-07-27 08:15:52.396860,Hunting License,Income,28.27,Hunting License,Leisure
2864,2022-07-27 08:31:09.093038,Student Loan Payment,Income,413.46,Student Loan Payment,Loans
2865,2022-07-27 09:18:00.205164,Pharmacy,Expense,285.16,Pharmacy,Health and Wellness
2866,2022-07-27 11:30:51.739516,Fishing License,Income,457.89,,
2867,2022-07-27 14:12:34.467902,Online Coaching,Income,475.49,Online Coaching,Education
2868,2022-07-27 14:58:46.206594,Plumbing Service,Income,190.48,,
2869,2022-07-27 16:36:22.579359,Sewer Bill,Income,359.35,Sewer Bill,Utilities
2870,2022-07-27 16:49:45.156015,Tuition Payment,Income,185.71,,
2871,2022-07-27 18:50:55.499385,Water Bill,Expense,389.57,Water Bill,Utilities
2872,2022-07-27 20:45:34.089349,Pet Grooming,Income,179.88,Pet Grooming,Pet Care
2873,2022-07-27 22:51:35.916573,Notary Service,Income,454.71,Notary Service,Services
2874,2022-07-27 23:54:20.545075,Online Marketplace,Expense,440.8,Online Marketplace,E-commerce
2875,2022-07-28 00:21:07.039634,Client Meeting Expense,Income,476.31,Client Meeting Expense,Business Expenses
2876,2022-07-28 00:30:49.579025,Subscription Renewal,Expense,68.92,Subscription Renewal,Subscriptions
2877,2022-07-28 09:14:48.198913,Art Gallery Purchase,Expense,174.62,Art Gallery Purchase,Collectibles
2878,2022-07-28 10:21:41.901119,Snow Removal,Income,351.83,Snow Removal,Maintenance
2879,2022-07-28 16:48:53.274242,Weekend Getaway,Income,280.04,Weekend Getaway,Travel
2880,2022-07-28 19:32:09.694601,Toll Road Fee,Income,345.45,Toll Road Fee,Transportation
2881,2022-07-28 20:03:56.576689,Golf Club Membership,Income,232.17,Golf Club Membership,Sport and Fitness
2882,2022-07-28 21:46:58.188650,Tree Trimming,Income,487.81,Tree Trimming,Yard Maintenance
2883,2022-07-28 22:47:31.876514,Course Fees,Expense,240.41,Course Fees,Education
2884,2022-07-29 01:07:23.577608,Membership Fee,Expense,386.38,Membership Fee,Subscriptions
2885,2022-07-29 01:11:32.278820,Storage Unit Rental,Income,422.1,Storage Unit Rental,Storage
2886,2022-07-29 02:11:48.454276,Therapist Session,Income,345.89,Therapist Session,Health and Wellness
2887,2022-07-29 02:39:40.472948,Wine Subscription,Expense,477.5,Wine Subscription,Entertainment Subs
2888,2022-07-29 02:57:50.332430,New Car Purchase,Expense,178.47,,
2889,2022-07-29 05:26:57.006595,Resume Service,Expense,466.86,Resume Service,Career Development
2890,2022-07-29 06:07:56.169755,Computer Purchase,Expense,323.03,Computer Purchase,Electronics
2891,2022-07-29 06:41:29.158264,Vacation Package,Expense,310.79,Vacation Package,Travel
2892,2022-07-29 08:44:42.462394,Flight Ticket,Expense,345.62,,
2893,2022-07-29 10:25:06.751816,Fishing License,Income,360.33,,
2894,2022-07-29 12:40:25.173476,Credit Report Fee,Income,238.86,Credit Report Fee,Finance
2895,2022-07-29 17:20:17.936404,Computer Purchase,Income,411.17,Computer Purchase,Electronics
2896,2022-07-29 17:24:26.374466,Snowmobile Rental,Expense,45.04,Snowmobile Rental,Sport and Fitness
2897,2022-07-29 19:27:47.443694,Museum Tickets,Income,282.32,Museum Tickets,Leisure
2898,2022-07-29 20:06:14.287871,Income Tax Payment,Income,401.85,,
2899,2022-07-29 22:28:26.939793,Sporting Goods,Expense,458.44,Sporting Goods,Sport and Fitness
2900,2022-07-30 00:03:18.518988,Phone Accessory,Expense,254.92,Phone Accessory,Electronics
2901,2022-07-30 01:24:27.148470,Debt Collection,Income,48.77,Debt Collection,Financial Obligations
2902,2022-07-30 03:35:38.270212,Amazon Purchase,Income,277.18,Amazon Purchase,Shopping
2903,2022-07-30 04:48:04.348261,Luxury Car Lease,Income,395.27,Luxury Car Lease,Travel
2904,2022-07-30 07:05:10.938285,Home Improvement,Expense,266.6,Home Improvement,Renovation
2905,2022-07-30 10:54:10.126581,Bowling Alley,Income,452.02,Bowling Alley,Leisure
2906,2022-07-30 12:30:15.419280,Movie Theater,Expense,73.81,Movie Theater,Entertainment
2907,2022-07-30 12:42:31.390350,Real Estate Agent Fee,Income,303.0,,
2908,2022-07-30 22:26:58.872495,Notary Service,Income,235.92,Notary Service,Services
2909,2022-07-31 00:12:01.053507,Used Car Purchase,Expense,137.32,Used Car Purchase,Transportation
2910,2022-07-31 00:26:51.222977,Window Cleaning,Income,254.21,,
2911,2022-07-31 02:40:36.127087,Property Tax,Income,234.15,,
2912,2022-07-31 03:31:51.526358,Investment Advisor Fee,Income,289.66,Investment Advisor Fee,Investments
2913,2022-07-31 03:49:39.396355,Gifts & Cards,Income,241.03,Gifts & Cards,Gifts
2914,2022-07-31 06:01:19.046039,Pest Control,Income,175.62,Pest Control,Maintenance
2915,2022-07-31 06:58:52.079587,Business Expense,Income,204.13,Business Expense,Business
2916,2022-07-31 08:01:43.740766,Hotel Stay,Income,415.36,Hotel Stay,Accommodation
2917,2022-07-31 09:07:00.686185,Golf Club Membership,Income,92.53,Golf Club Membership,Sport and Fitness
2918,2022-07-31 10:58:21.651829,Income Tax Payment,Income,57.54,,
2919,2022-07-31 13:07:12.794468,Spotify Ab By Adyen,Income,476.67,,
2920,2022-07-31 13:16:58.324546,Used Car Purchase,Income,415.1,Used Car Purchase,Transportation
2921,2022-07-31 17:34:03.291456,Car Registration,Income,132.89,Car Registration,Vehicle Management
2922,2022-07-31 18:22:45.012353,Wine Subscription,Income,246.15,Wine Subscription,Entertainment Subs
2923,2022-07-31 21:21:44.401359,Car Loan Payment,Income,393.35,Car Loan Payment,Finance
2924,2022-07-31 23:52:20.084762,Vehicle Insurance,Expense,395.48,Vehicle Insurance,Transportation
2925,2022-08-01 00:33:52.024172,Background Check,Expense,378.72,Background Check,Personal Documents
2926,2022-08-01 01:06:27.309176,Sewer Bill,Expense,27.06,Sewer Bill,Utilities
2927,2022-08-01 02:55:29.605599,Online Shopping,Income,329.55,,
2928,2022-08-01 04:27:17.199275,Car Wash,Income,448.39,Car Wash,Vehicle Maintenance
2929,2022-08-01 05:10:56.383426,Clothing Store,Expense,260.37,Clothing Store,Shopping
2930,2022-08-01 05:12:24.403826,Personal Loan Payment,Income,402.73,Personal Loan Payment,Debt Repayment
2931,2022-08-01 11:24:13.196942,Investment Account,Expense,24.03,Investment Account,Investments
2932,2022-08-01 11:59:54.079819,Investment Brokerage Fee,Expense,32.26,,
2933,2022-08-01 12:08:27.323933,Student Loan Payment,Expense,451.09,Student Loan Payment,Loans
2934,2022-08-01 14:57:18.190755,Resume Service,Income,461.11,Resume Service,Career Development
2935,2022-08-01 16:30:50.902116,Textbooks,Expense,444.94,Textbooks,Education
2936,2022-08-01 18:05:25.066028,Electricity Bill,Expense,467.1,Electricity Bill,Utilities
2937,2022-08-02 01:40:32.372297,Resume Service,Expense,497.11,Resume Service,Career Development
2938,2022-08-02 02:56:46.339327,Cabin Rental,Income,438.56,Cabin Rental,Vacation
2939,2022-08-02 04:41:49.434172,Gifts & Cards,Income,463.49,Gifts & Cards,Gifts
2940,2022-08-02 05:30:09.448677,Gas Station,Income,154.78,Gas Station,Fuel
2941,2022-08-02 13:36:48.042112,Wine Subscription,Expense,424.13,Wine Subscription,Entertainment Subs
2942,2022-08-02 15:48:28.090264,Meal Delivery,Expense,296.59,Meal Delivery,Food and Drinks
2943,2022-08-02 18:31:17.539553,Cabin Rental,Income,31.77,Cabin Rental,Vacation
2944,2022-08-02 21:11:04.334532,Dental Care,Income,396.19,Dental Care,Health and Wellness
2945,2022-08-02 21:16:15.250893,Sewer Bill,Income,232.64,Sewer Bill,Utilities
2946,2022-08-03 00:10:37.364745,Funeral Expenses,Income,150.24,Funeral Expenses,Bereavement
2947,2022-08-03 00:22:37.030980,Uber Ride,Income,112.53,Uber Ride,Transportation
2948,2022-08-03 04:33:57.690689,Therapist Session,Expense,399.09,Therapist Session,Health and Wellness
2949,2022-08-03 07:29:48.252723,Side Gig Income,Income,255.62,Side Gig Income,Side Hustle
2950,2022-08-03 08:55:36.779623,Clothing Store,Expense,225.83,Clothing Store,Shopping
2951,2022-08-03 10:51:37.050699,Membership Fee,Income,326.18,Membership Fee,Subscriptions
2952,2022-08-03 11:01:16.768648,Toll Road Fee,Income,73.25,Toll Road Fee,Transportation
2953,2022-08-03 15:10:03.052195,Airport Parking,Income,122.32,Airport Parking,Travel
2954,2022-08-03 16:53:01.691002,Yoga Class,Expense,363.23,Yoga Class,Fitness
2955,2022-08-03 17:46:21.060912,Consulting Income,Income,449.17,Consulting Income,Side Gig
2956,2022-08-03 18:38:08.075673,Spa Package,Expense,238.5,Spa Package,Relaxation/Leisure
2957,2022-08-03 20:32:19.894173,Childcare Services,Expense,499.76,Childcare Services,Family Care
2958,2022-08-03 22:22:13.058813,Electricity Bill,Income,485.93,Electricity Bill,Utilities
2959,2022-08-03 23:29:19.829516,Grocery Delivery,Expense,199.92,Grocery Delivery,Food and Drinks
2960,2022-08-04 00:56:35.876773,Bicycle Repair,Expense,13.91,Bicycle Repair,Maintenance
2961,2022-08-04 02:09:36.356964,Online Course,Expense,188.25,Online Course,Education
2962,2022-08-04 04:08:44.963054,Luxury Hotel Stay,Expense,206.41,Luxury Hotel Stay,Travel
2963,2022-08-04 08:37:10.859567,Yacht Charter,Expense,354.08,Yacht Charter,Travel
2964,2022-08-04 11:03:46.738381,Prescription Meds,Expense,453.81,Prescription Meds,Health and Wellness
2965,2022-08-04 11:57:38.518225,Sporting Goods,Income,82.67,Sporting Goods,Sport and Fitness
2966,2022-08-04 12:09:36.314662,Investment Account,Income,314.05,Investment Account,Investments
2967,2022-08-04 15:02:17.244728,Window Cleaning,Expense,204.46,,
2968,2022-08-04 15:45:09.935371,Pharmacy,Expense,296.06,Pharmacy,Health and Wellness
2969,2022-08-04 20:37:28.632995,Office Supplies,Expense,447.87,Office Supplies,Office Expenses
2970,2022-08-04 22:22:47.352617,Medical Expense,Expense,196.92,Medical Expense,Health and Wellness
2971,2022-08-05 01:10:44.633307,Water Bill,Income,30.84,Water Bill,Utilities
2972,2022-08-05 02:24:31.434018,Spotify Ab By Adyen,Income,51.49,,
2973,2022-08-05 05:08:17.920657,Wire Transfer Fee,Income,499.06,Wire Transfer Fee,Banking
2974,2022-08-05 07:24:15.484972,Income Tax Payment,Income,148.11,,
2975,2022-08-05 08:41:33.673524,Digital Download,Expense,434.97,Digital Download,Software/Purchases
2976,2022-08-05 09:13:29.550117,Court Fees,Expense,129.48,Court Fees,Legal Expenses
2977,2022-08-05 10:38:58.457072,Online Shopping,Expense,257.17,,
2978,2022-08-05 17:54:55.536393,Hotel Stay,Income,252.16,Hotel Stay,Accommodation
2979,2022-08-05 18:09:29.602124,Mortgage Payment,Expense,118.46,,
2980,2022-08-05 19:42:39.959103,Luxury Purchase,Income,77.88,Luxury Purchase,Hobbies
2981,2022-08-06 00:16:04.285661,Membership Fee,Expense,298.11,Membership Fee,Subscriptions
2982,2022-08-06 05:26:37.128333,Savings Deposit,Expense,200.02,Savings Deposit,Savings
2983,2022-08-06 06:14:01.675429,Department Store,Income,69.85,Department Store,Shopping
2984,2022-08-06 06:47:47.688968,Book Purchase,Expense,253.62,Book Purchase,Hobbies & Reading
2985,2022-08-06 08:54:18.086110,Electrician Service,Expense,45.13,Electrician Service,Maintenance
2986,2022-08-06 11:56:34.683544,Car Repair,Expense,13.83,,
2987,2022-08-06 12:09:54.437535,Bowling Alley,Income,64.24,Bowling Alley,Leisure
2988,2022-08-06 13:34:22.712535,Real Estate Agent Fee,Income,198.36,,
2989,2022-08-06 15:22:20.547354,Car Loan Payment,Expense,262.75,Car Loan Payment,Finance
2990,2022-08-06 15:55:09.583519,Babysitting Service,Income,168.25,Babysitting Service,Childcare
2991,2022-08-06 16:28:36.442026,Therapist Session,Income,185.53,Therapist Session,Health and Wellness
2992,2022-08-06 19:01:01.839976,Job Board Fee,Expense,39.16,Job Board Fee,Career Development
2993,2022-08-06 20:02:01.368372,Internet Bill,Income,371.32,Internet Bill,Utilities
2994,2022-08-06 21:02:08.013016,Tree Trimming,Income,463.45,Tree Trimming,Yard Maintenance
2995,2022-08-07 01:05:04.901689,Private Jet Rental,Income,97.41,Private Jet Rental,Travel
2996,2022-08-07 02:49:52.915738,New Car Purchase,Expense,216.99,,
2997,2022-08-07 08:25:03.447378,Legal Fees,Income,251.45,Legal Fees,Services
2998,2022-08-07 09:59:08.241729,Vacation Home Rental,Income,443.9,Vacation Home Rental,Accommodation
2999,2022-08-07 10:21:15.555758,Concert Tickets,Income,144.52,Concert Tickets,Entertainment
3000,2022-08-07 10:27:09.348879,Luxury Car Lease,Expense,264.86,Luxury Car Lease,Travel
3001,2022-08-07 12:10:09.871715,Life Insurance,Expense,264.02,Life Insurance,Insurance
