Date,Name / Description,Expense/Income,Amount (EUR)
2022-07-17 00:53:00.342441,Restaurant Takeout,Income,360.51
2022-07-17 01:08:37.765885,Life Insurance,Expense,55.8
2022-07-17 01:37:32.686312,Photography Service,Expense,71.32
2022-07-17 08:55:23.046755,Laundry Service,Expense,288.8
2022-07-17 11:29:34.345788,Freight Shipping,Expense,459.9
2022-07-17 12:32:12.421515,Subscription Box,Income,309.1
2022-07-17 14:19:39.201347,Landscaping,Expense,373.6
2022-07-17 14:21:36.739811,Property Tax,Income,494.99
2022-07-17 15:02:52.802239,Moving Service,Income,470.97
2022-07-17 15:17:56.918649,Snowmobile Rental,Income,254.25
2022-07-17 18:20:24.984190,Event Registration,Income,39.9
2022-07-17 21:26:46.329288,Trust Fund Contribution,Expense,137.86
2022-07-17 21:42:05.116117,Retirement Contribution,Income,454.04
2022-07-17 22:07:07.682976,Online Marketplace,Expense,223.66
2022-07-18 01:12:25.098000,Consulting Income,Income,235.53
2022-07-18 03:53:44.995684,Moving Service,Expense,64.01
2022-07-18 04:33:07.493832,Luxury Hotel Stay,Income,105.27
2022-07-18 06:15:17.538320,Wine Subscription,Income,345.5
2022-07-18 17:14:42.180385,Health Insurance,Expense,309.65
2022-07-18 18:21:28.799836,Bank Service Charge,Income,103.19
2022-07-18 19:22:06.646837,Water Bill,Income,29.97
2022-07-18 20:53:55.397751,Investment Income,Income,398.07
2022-07-18 21:32:53.753767,Tuition Payment,Expense,75.45
2022-07-19 00:38:16.374932,Childcare Services,Expense,369.18
2022-07-19 00:44:54.857078,Car Repair,Expense,234.99
2022-07-19 00:53:41.694015,Business Supplies,Expense,376.74
2022-07-19 04:49:17.850343,Grocery Delivery,Expense,440.84
2022-07-19 05:42:29.627324,Furniture Purchase,Expense,60.09
2022-07-19 06:09:42.163927,Home Renovation,Income,261.64
2022-07-19 06:47:34.251291,Grocery Store,Income,289.0
2022-07-19 08:19:32.473406,Furniture Purchase,Income,285.17
2022-07-19 09:04:26.529794,Life Insurance,Income,281.48
2022-07-19 11:43:27.059864,Pet Supplies,Expense,344.71
2022-07-19 12:04:07.586390,Birthday Gift,Income,143.85
2022-07-19 15:28:59.657593,Prescription Meds,Expense,386.19
2022-07-19 16:02:17.450313,Consulting Income,Expense,357.44
2022-07-19 16:14:50.767383,Wedding Gift,Income,137.9
2022-07-19 16:34:20.432907,Art Gallery Purchase,Income,419.48
2022-07-19 17:15:25.195523,Software Subscription,Expense,219.68
2022-07-19 18:32:34.992181,Consulting Income,Expense,358.17
2022-07-19 20:30:16.627270,Tuition Payment,Income,27.5
2022-07-19 20:56:43.227024,Yoga Class,Expense,258.86
2022-07-19 21:31:52.353144,Vehicle Insurance,Expense,452.02
2022-07-19 22:37:33.051930,Art Gallery Purchase,Income,169.78
2022-07-19 23:38:31.942845,Pet Supplies,Expense,279.84
2022-07-20 00:46:36.499887,Personal Trainer,Income,367.73
2022-07-20 01:10:21.858626,Golf Course,Expense,374.52
2022-07-20 03:28:48.579883,Landscaping,Income,234.96
2022-07-20 06:43:44.920977,Internet Bill,Expense,318.91
2022-07-20 06:52:16.062947,Cell Phone Purchase,Income,110.1
2022-07-20 07:21:08.909536,Laundry Service,Income,324.56
2022-07-20 07:40:08.544818,Garden Center,Income,35.08
2022-07-20 10:44:39.800528,Notary Service,Income,463.97
2022-07-20 14:34:22.347621,Internet Bill,Expense,387.69
2022-07-20 15:11:55.107208,Hiking Gear,Income,398.12
2022-07-20 16:37:51.424416,Investment Advisor Fee,Income,388.61
2022-07-20 19:26:20.466187,Freight Shipping,Income,276.55
2022-07-20 19:37:42.110367,Flight Ticket,Income,83.78
2022-07-21 02:45:58.929765,Art Gallery Purchase,Income,5.7
2022-07-21 03:35:45.759949,ATM Fee,Expense,307.44
2022-07-21 03:47:29.326975,Doctor Visit,Expense,184.39
2022-07-21 03:58:03.994534,Business Supplies,Expense,129.27
2022-07-21 06:28:38.258940,Water Bill,Income,310.29
2022-07-21 09:13:11.303692,Concert Tickets,Expense,254.34
2022-07-21 12:19:51.412887,Toll Road Fee,Income,197.37
2022-07-21 15:57:42.492675,Natural Gas Bill,Income,236.48
2022-07-21 16:47:25.416782,Golf Course,Expense,172.82
2022-07-22 03:25:18.398208,Pet Supplies,Expense,228.36
2022-07-22 04:28:22.099505,Life Insurance,Expense,117.62
2022-07-22 04:57:17.061085,Tattoo Parlor,Expense,262.76
2022-07-22 04:57:52.399165,Childcare Services,Income,207.45
2022-07-22 05:12:19.835875,Daycare Fees,Expense,260.91
2022-07-22 05:18:55.783341,Used Car Purchase,Income,159.38
2022-07-22 06:43:47.446204,Medical Checkup,Income,174.55
2022-07-22 06:45:28.759869,Lottery Ticket,Income,324.49
2022-07-22 10:06:26.067309,Sales Tax,Expense,378.72
2022-07-22 11:13:47.806375,Electricity Bill,Income,413.73
2022-07-22 11:16:56.847049,Wedding Gift,Income,337.86
2022-07-22 11:37:40.069204,Income Tax Payment,Expense,409.09
2022-07-22 11:53:55.574809,Resume Service,Expense,492.59
2022-07-22 17:51:50.246106,Cabin Rental,Income,498.09
2022-07-22 20:22:15.404454,Medical Expense,Expense,103.95
2022-07-22 23:49:01.814464,Ski Resort,Income,444.41
2022-07-22 23:53:40.528027,Investment Advisor Fee,Expense,246.77
2022-07-23 01:01:23.836235,Hardware Store,Expense,98.11
2022-07-23 01:38:56.479801,Wire Transfer Fee,Expense,90.73
2022-07-23 02:53:16.349510,Career Counseling,Income,200.65
2022-07-23 07:16:46.452485,Weekend Getaway,Expense,155.0
2022-07-23 08:44:36.844192,Restaurant Dining,Income,30.71
2022-07-23 11:20:52.301133,Business Supplies,Income,52.85
2022-07-23 11:51:59.227874,Credit Card Payment,Expense,319.63
2022-07-23 14:37:32.041742,Grocery Store,Income,158.52
2022-07-23 16:44:19.772404,Overdraft Fee,Expense,283.21
2022-07-23 21:27:10.184094,Septic Tank Service,Income,481.13
2022-07-24 04:09:45.254344,Overdraft Fee,Expense,385.13
2022-07-24 05:40:04.977576,Savings Deposit,Expense,77.19
2022-07-24 09:08:27.193486,Consulting Income,Expense,262.85
2022-07-24 12:10:34.988045,Career Counseling,Expense,74.53
2022-07-24 12:21:21.076245,Phone Accessory,Income,236.45
2022-07-24 13:27:01.058148,Business Supplies,Income,181.49
2022-07-24 13:39:23.327624,Hotel Stay,Expense,292.87
2022-07-24 15:07:46.155846,Car Registration,Income,288.0
2022-07-24 17:02:35.369122,Consulting Income,Income,68.26
2022-07-24 17:16:40.305724,Outdoor Equipment,Expense,161.26
2022-07-24 17:27:45.159318,Boat Rental,Expense,494.73
2022-07-24 20:23:14.511686,Vacation Home Rental,Expense,255.89
2022-07-24 22:48:18.243535,Holiday Shopping,Expense,409.48
2022-07-25 00:28:50.792774,Digital Download,Income,132.31
2022-07-25 01:49:20.312778,Spa Package,Expense,141.66
2022-07-25 03:41:06.467525,Wedding Gift,Expense,267.74
2022-07-25 04:14:02.781540,Investment Brokerage Fee,Expense,376.97
2022-07-25 05:25:45.139215,School Supplies,Income,283.98
2022-07-25 06:19:27.658318,Career Counseling,Expense,219.44
2022-07-25 07:35:35.879992,Camera Equipment,Income,403.8
2022-07-25 10:19:33.819096,New Car Purchase,Expense,11.24
2022-07-25 10:37:21.034648,HVAC Maintenance,Income,481.0
2022-07-25 11:01:45.460324,Streaming Service,Income,78.36
2022-07-25 11:09:53.454707,Yacht Charter,Income,443.29
2022-07-25 13:48:52.837034,Roof Repair,Income,226.44
2022-07-25 14:38:46.120669,Netflix Subscription,Income,22.62
2022-07-25 15:52:33.417935,Outdoor Equipment,Expense,289.56
2022-07-25 17:31:58.706898,Accountant Fees,Income,191.45
2022-07-25 17:46:48.282222,Restaurant Dining,Expense,494.75
2022-07-25 18:22:29.735961,Hiking Gear,Income,216.22
2022-07-25 19:07:00.929508,Credit Report Fee,Expense,377.66
2022-07-25 20:14:31.189636,Golf Club Membership,Expense,80.33
2022-07-25 23:41:49.260721,Membership Fee,Expense,495.91
2022-07-26 00:17:57.201236,Outdoor Equipment,Expense,316.02
2022-07-26 01:10:54.471256,Hunting License,Expense,393.91
2022-07-26 06:33:48.079342,Funeral Expenses,Expense,436.41
2022-07-26 08:50:40.851670,Vacation Package,Expense,179.61
2022-07-26 08:56:15.991410,Snowmobile Rental,Expense,81.02
2022-07-26 09:37:35.203813,Hotel Stay,Expense,148.76
2022-07-26 10:46:21.809925,Spotify Subscription,Expense,233.25
2022-07-26 11:19:03.657971,School Supplies,Expense,401.0
2022-07-26 14:14:27.138438,Foreign Transaction Fee,Income,419.99
2022-07-26 14:45:18.591279,Life Insurance,Expense,476.5
2022-07-26 15:48:22.746136,Hotel Stay,Income,362.97
2022-07-26 18:06:53.863594,Court Fees,Expense,459.35
2022-07-26 20:10:01.640356,Movie Theater,Expense,214.8
2022-07-26 20:35:23.294976,Prescription Meds,Expense,462.13
2022-07-26 22:53:55.922942,Health Insurance,Expense,133.9
2022-07-27 02:37:44.639681,Wine Subscription,Expense,459.07
2022-07-27 02:54:04.967170,Wire Transfer Fee,Expense,441.33
2022-07-27 04:08:45.007651,Notary Service,Income,465.32
2022-07-27 04:09:18.143015,Savings Deposit,Expense,213.17
2022-07-27 04:58:52.754837,Freelance Work,Expense,250.22
2022-07-27 05:47:05.190717,Walmart Groceries,Income,461.55
2022-07-27 07:31:19.242851,Funeral Expenses,Income,222.99
2022-07-27 07:32:53.025894,Walmart Groceries,Expense,28.75
2022-07-27 08:15:52.396860,Hunting License,Income,28.27
2022-07-27 08:31:09.093038,Student Loan Payment,Income,413.46
2022-07-27 09:18:00.205164,Pharmacy,Expense,285.16
2022-07-27 11:30:51.739516,Fishing License,Income,457.89
2022-07-27 14:12:34.467902,Online Coaching,Income,475.49
2022-07-27 14:58:46.206594,Plumbing Service,Income,190.48
2022-07-27 16:36:22.579359,Sewer Bill,Income,359.35
2022-07-27 16:49:45.156015,Tuition Payment,Income,185.71
2022-07-27 18:50:55.499385,Water Bill,Expense,389.57
2022-07-27 20:45:34.089349,Pet Grooming,Income,179.88
2022-07-27 22:51:35.916573,Notary Service,Income,454.71
2022-07-27 23:54:20.545075,Online Marketplace,Expense,440.8
2022-07-28 00:21:07.039634,Client Meeting Expense,Income,476.31
2022-07-28 00:30:49.579025,Subscription Renewal,Expense,68.92
2022-07-28 09:14:48.198913,Art Gallery Purchase,Expense,174.62
2022-07-28 10:21:41.901119,Snow Removal,Income,351.83
2022-07-28 16:48:53.274242,Weekend Getaway,Income,280.04
2022-07-28 19:32:09.694601,Toll Road Fee,Income,345.45
2022-07-28 20:03:56.576689,Golf Club Membership,Income,232.17
2022-07-28 21:46:58.188650,Tree Trimming,Income,487.81
2022-07-28 22:47:31.876514,Course Fees,Expense,240.41
2022-07-29 01:07:23.577608,Membership Fee,Expense,386.38
2022-07-29 01:11:32.278820,Storage Unit Rental,Income,422.1
2022-07-29 02:11:48.454276,Therapist Session,Income,345.89
2022-07-29 02:39:40.472948,Wine Subscription,Expense,477.5
2022-07-29 02:57:50.332430,New Car Purchase,Expense,178.47
2022-07-29 05:26:57.006595,Resume Service,Expense,466.86
2022-07-29 06:07:56.169755,Computer Purchase,Expense,323.03
2022-07-29 06:41:29.158264,Vacation Package,Expense,310.79
2022-07-29 08:44:42.462394,Flight Ticket,Expense,345.62
2022-07-29 10:25:06.751816,Fishing License,Income,360.33
2022-07-29 12:40:25.173476,Credit Report Fee,Income,238.86
2022-07-29 17:20:17.936404,Computer Purchase,Income,411.17
2022-07-29 17:24:26.374466,Snowmobile Rental,Expense,45.04
2022-07-29 19:27:47.443694,Museum Tickets,Income,282.32
2022-07-29 20:06:14.287871,Income Tax Payment,Income,401.85
2022-07-29 22:28:26.939793,Sporting Goods,Expense,458.44
2022-07-30 00:03:18.518988,Phone Accessory,Expense,254.92
2022-07-30 01:24:27.148470,Debt Collection,Income,48.77
2022-07-30 03:35:38.270212,Amazon Purchase,Income,277.18
2022-07-30 04:48:04.348261,Luxury Car Lease,Income,395.27
2022-07-30 07:05:10.938285,Home Improvement,Expense,266.6
2022-07-30 10:54:10.126581,Bowling Alley,Income,452.02
2022-07-30 12:30:15.419280,Movie Theater,Expense,73.81
2022-07-30 12:42:31.390350,Real Estate Agent Fee,Income,303.0
2022-07-30 22:26:58.872495,Notary Service,Income,235.92
2022-07-31 00:12:01.053507,Used Car Purchase,Expense,137.32
2022-07-31 00:26:51.222977,Window Cleaning,Income,254.21
2022-07-31 02:40:36.127087,Property Tax,Income,234.15
2022-07-31 03:31:51.526358,Investment Advisor Fee,Income,289.66
2022-07-31 03:49:39.396355,Gifts & Cards,Income,241.03
2022-07-31 06:01:19.046039,Pest Control,Income,175.62
2022-07-31 06:58:52.079587,Business Expense,Income,204.13
2022-07-31 08:01:43.740766,Hotel Stay,Income,415.36
2022-07-31 09:07:00.686185,Golf Club Membership,Income,92.53
2022-07-31 10:58:21.651829,Income Tax Payment,Income,57.54
2022-07-31 13:07:12.794468,Spotify Subscription,Income,476.67
2022-07-31 13:16:58.324546,Used Car Purchase,Income,415.1
2022-07-31 17:34:03.291456,Car Registration,Income,132.89
2022-07-31 18:22:45.012353,Wine Subscription,Income,246.15
2022-07-31 21:21:44.401359,Car Loan Payment,Income,393.35
2022-07-31 23:52:20.084762,Vehicle Insurance,Expense,395.48
2022-08-01 00:33:52.024172,Background Check,Expense,378.72
2022-08-01 01:06:27.309176,Sewer Bill,Expense,27.06
2022-08-01 02:55:29.605599,Online Shopping,Income,329.55
2022-08-01 04:27:17.199275,Car Wash,Income,448.39
2022-08-01 05:10:56.383426,Clothing Store,Expense,260.37
2022-08-01 05:12:24.403826,Personal Loan Payment,Income,402.73
2022-08-01 11:24:13.196942,Investment Account,Expense,24.03
2022-08-01 11:59:54.079819,Investment Brokerage Fee,Expense,32.26
2022-08-01 12:08:27.323933,Student Loan Payment,Expense,451.09
2022-08-01 14:57:18.190755,Resume Service,Income,461.11
2022-08-01 16:30:50.902116,Textbooks,Expense,444.94
2022-08-01 18:05:25.066028,Electricity Bill,Expense,467.1
2022-08-02 01:40:32.372297,Resume Service,Expense,497.11
2022-08-02 02:56:46.339327,Cabin Rental,Income,438.56
2022-08-02 04:41:49.434172,Gifts & Cards,Income,463.49
2022-08-02 05:30:09.448677,Gas Station,Income,154.78
2022-08-02 13:36:48.042112,Wine Subscription,Expense,424.13
2022-08-02 15:48:28.090264,Meal Delivery,Expense,296.59
2022-08-02 18:31:17.539553,Cabin Rental,Income,31.77
2022-08-02 21:11:04.334532,Dental Care,Income,396.19
2022-08-02 21:16:15.250893,Sewer Bill,Income,232.64
2022-08-03 00:10:37.364745,Funeral Expenses,Income,150.24
2022-08-03 00:22:37.030980,Uber Ride,Income,112.53
2022-08-03 04:33:57.690689,Therapist Session,Expense,399.09
2022-08-03 07:29:48.252723,Side Gig Income,Income,255.62
2022-08-03 08:55:36.779623,Clothing Store,Expense,225.83
2022-08-03 10:51:37.050699,Membership Fee,Income,326.18
2022-08-03 11:01:16.768648,Toll Road Fee,Income,73.25
2022-08-03 15:10:03.052195,Airport Parking,Income,122.32
2022-08-03 16:53:01.691002,Yoga Class,Expense,363.23
2022-08-03 17:46:21.060912,Consulting Income,Income,449.17
2022-08-03 18:38:08.075673,Spa Package,Expense,238.5
2022-08-03 20:32:19.894173,Childcare Services,Expense,499.76
2022-08-03 22:22:13.058813,Electricity Bill,Income,485.93
2022-08-03 23:29:19.829516,Grocery Delivery,Expense,199.92
2022-08-04 00:56:35.876773,Bicycle Repair,Expense,13.91
2022-08-04 02:09:36.356964,Online Course,Expense,188.25
2022-08-04 04:08:44.963054,Luxury Hotel Stay,Expense,206.41
2022-08-04 08:37:10.859567,Yacht Charter,Expense,354.08
2022-08-04 11:03:46.738381,Prescription Meds,Expense,453.81
2022-08-04 11:57:38.518225,Sporting Goods,Income,82.67
2022-08-04 12:09:36.314662,Investment Account,Income,314.05
2022-08-04 15:02:17.244728,Window Cleaning,Expense,204.46
2022-08-04 15:45:09.935371,Pharmacy,Expense,296.06
2022-08-04 20:37:28.632995,Office Supplies,Expense,447.87
2022-08-04 22:22:47.352617,Medical Expense,Expense,196.92
2022-08-05 01:10:44.633307,Water Bill,Income,30.84
2022-08-05 02:24:31.434018,Spotify Subscription,Income,51.49
2022-08-05 05:08:17.920657,Wire Transfer Fee,Income,499.06
2022-08-05 07:24:15.484972,Income Tax Payment,Income,148.11
2022-08-05 08:41:33.673524,Digital Download,Expense,434.97
2022-08-05 09:13:29.550117,Court Fees,Expense,129.48
2022-08-05 10:38:58.457072,Online Shopping,Expense,257.17
2022-08-05 17:54:55.536393,Hotel Stay,Income,252.16
2022-08-05 18:09:29.602124,Mortgage Payment,Expense,118.46
2022-08-05 19:42:39.959103,Luxury Purchase,Income,77.88
2022-08-06 00:16:04.285661,Membership Fee,Expense,298.11
2022-08-06 05:26:37.128333,Savings Deposit,Expense,200.02
2022-08-06 06:14:01.675429,Department Store,Income,69.85
2022-08-06 06:47:47.688968,Book Purchase,Expense,253.62
2022-08-06 08:54:18.086110,Electrician Service,Expense,45.13
2022-08-06 11:56:34.683544,Car Repair,Expense,13.83
2022-08-06 12:09:54.437535,Bowling Alley,Income,64.24
2022-08-06 13:34:22.712535,Real Estate Agent Fee,Income,198.36
2022-08-06 15:22:20.547354,Car Loan Payment,Expense,262.75
2022-08-06 15:55:09.583519,Babysitting Service,Income,168.25
2022-08-06 16:28:36.442026,Therapist Session,Income,185.53
2022-08-06 19:01:01.839976,Job Board Fee,Expense,39.16
2022-08-06 20:02:01.368372,Internet Bill,Income,371.32
2022-08-06 21:02:08.013016,Tree Trimming,Income,463.45
2022-08-07 01:05:04.901689,Private Jet Rental,Income,97.41
2022-08-07 02:49:52.915738,New Car Purchase,Expense,216.99
2022-08-07 08:25:03.447378,Legal Fees,Income,251.45
2022-08-07 09:59:08.241729,Vacation Home Rental,Income,443.9
2022-08-07 10:21:15.555758,Concert Tickets,Income,144.52
2022-08-07 10:27:09.348879,Luxury Car Lease,Expense,264.86
2022-08-07 12:10:09.871715,Life Insurance,Expense,264.02
2022-08-07 14:18:34.768315,Pet Supplies,Income,351.55
2022-08-07 15:12:29.646043,New Car Purchase,Expense,451.13
2022-08-07 15:27:57.867172,Pet Supplies,Income,152.02
2022-08-07 16:07:01.055987,Private Jet Rental,Income,344.34
2022-08-07 16:40:52.299022,Dental Care,Income,447.39
2022-08-07 19:45:50.264131,Job Training Fee,Expense,305.88
2022-08-07 20:51:04.353347,Photography Service,Income,251.69
2022-08-07 21:07:28.510963,Lottery Ticket,Expense,60.84
2022-08-07 21:46:07.568735,Client Meeting Expense,Income,112.2
2022-08-07 22:05:28.840327,Fitness Equipment,Income,286.19
2022-08-07 22:48:10.655352,Storage Unit Rental,Expense,395.11
2022-08-07 23:40:49.381471,Software License,Income,78.55
2022-08-07 23:56:59.237661,Spotify Subscription,Expense,382.07
2022-08-08 00:01:23.435163,Online Coaching,Income,279.05
2022-08-08 02:59:45.846516,Fitness Equipment,Expense,83.09
2022-08-08 08:20:20.761595,Job Board Fee,Income,382.33
2022-08-08 10:15:56.796036,Pest Control,Income,311.29
2022-08-08 12:11:17.283033,Property Tax,Expense,353.29
2022-08-08 12:38:27.738328,Computer Purchase,Income,422.06
2022-08-08 13:00:16.924489,Freight Shipping,Expense,163.22
2022-08-08 13:47:28.019476,Client Meeting Expense,Income,50.87
2022-08-08 18:37:53.005917,Pet Supplies,Expense,105.7
2022-08-08 21:35:42.043450,Textbooks,Income,267.28
2022-08-09 02:42:20.967583,Car Loan Payment,Expense,29.53
2022-08-09 02:49:13.680536,Pest Control,Expense,461.76
2022-08-09 03:32:47.812959,Holiday Shopping,Expense,146.38
2022-08-09 03:40:03.966788,Uber Ride,Expense,144.32
2022-08-09 04:40:07.706637,Subscription Renewal,Expense,399.57
2022-08-09 05:51:31.471434,Personal Loan Payment,Income,171.05
2022-08-09 06:29:09.521974,Private Jet Rental,Income,152.17
2022-08-09 08:37:54.754754,Internet Bill,Income,164.87
2022-08-09 09:29:57.833543,Phone Accessory,Income,100.12
2022-08-09 13:33:37.415211,Anniversary Gift,Expense,151.01
2022-08-09 14:47:30.563271,Streaming Service,Expense,60.83
2022-08-09 15:51:26.673608,Private Jet Rental,Expense,104.72
2022-08-09 16:13:20.511402,Flight Ticket,Income,493.35
2022-08-09 16:22:12.467988,Yacht Charter,Expense,311.69
2022-08-09 16:57:34.868297,Pharmacy,Income,407.16
2022-08-09 17:06:14.097157,Yacht Charter,Expense,21.93
2022-08-09 17:47:18.544391,Uber Ride,Expense,425.63
2022-08-09 18:16:48.094342,Parking Fee,Income,363.78
2022-08-09 18:47:48.047429,Museum Tickets,Income,153.19
2022-08-09 23:02:59.908004,Office Supplies,Expense,308.96
2022-08-10 01:19:55.200057,Freight Shipping,Expense,63.06
2022-08-10 01:29:43.501191,Anniversary Gift,Income,338.86
2022-08-10 03:18:32.949457,Monthly Rent,Expense,11.24
2022-08-10 03:22:42.400786,Home Appliance,Expense,237.52
2022-08-10 03:46:19.585727,Pet Grooming,Expense,53.54
2022-08-10 05:06:02.989000,Electrician Service,Expense,410.07
2022-08-10 11:03:01.826559,Credit Report Fee,Expense,232.27
2022-08-10 13:46:14.886605,Water Bill,Expense,284.66
2022-08-10 15:21:23.934449,Hair Salon,Expense,250.39
2022-08-10 16:01:24.502220,Business Expense,Income,181.35
2022-08-10 16:04:43.819475,Hotel Stay,Expense,105.84
2022-08-10 19:51:34.147207,Wine Subscription,Income,194.43
2022-08-11 02:04:37.370006,School Supplies,Expense,10.1
2022-08-11 02:21:00.152194,Funeral Expenses,Expense,141.6
2022-08-11 02:45:20.877005,Trash Collection,Income,389.0
2022-08-11 03:45:17.643023,Spa Package,Income,160.13
2022-08-11 06:57:38.401328,Photography Service,Expense,493.78
2022-08-11 07:00:42.988840,Background Check,Expense,174.21
2022-08-11 07:12:58.541112,Netflix Subscription,Income,305.27
2022-08-11 08:12:42.119051,Electricity Bill,Expense,74.15
2022-08-11 10:20:43.453492,Business Supplies,Income,431.46
2022-08-11 11:08:55.358484,Festival Tickets,Expense,118.97
2022-08-11 14:59:43.053991,Camera Equipment,Income,111.23
2022-08-11 17:51:34.994139,Pharmacy,Income,107.78
2022-08-11 18:17:11.710006,Insurance Payment,Expense,451.87
2022-08-11 19:51:13.133693,Personal Loan Payment,Income,425.24
2022-08-11 22:53:31.421415,Luxury Hotel Stay,Income,345.67
2022-08-11 23:06:14.634868,Spotify Subscription,Income,437.58
2022-08-12 02:22:12.547478,Fitness Equipment,Income,104.55
2022-08-12 05:50:30.686513,Toll Road Fee,Income,77.88
2022-08-12 06:23:34.655716,Wire Transfer Fee,Income,159.6
2022-08-12 10:26:11.766884,Investment Income,Expense,286.86
2022-08-12 11:30:09.096527,Bank Service Charge,Expense,240.77
2022-08-12 13:22:16.075743,Online Shopping,Expense,475.5
2022-08-12 17:26:15.535837,Yacht Charter,Expense,85.9
2022-08-12 17:30:16.578831,Office Supplies,Income,83.71
2022-08-12 18:40:01.277674,Cabin Rental,Income,454.38
2022-08-12 22:46:37.653521,Home Improvement,Expense,160.66
2022-08-13 02:00:28.191637,Internet Bill,Income,41.19
2022-08-13 02:12:44.728639,Client Meeting Expense,Income,326.36
2022-08-13 02:45:57.423118,Cabin Rental,Expense,320.38
2022-08-13 04:29:17.050706,Landscaping,Income,124.86
2022-08-13 05:06:07.243673,Digital Download,Income,300.74
2022-08-13 08:57:34.154819,Gym Membership,Income,462.64
2022-08-13 09:27:29.525279,Luxury Purchase,Expense,28.02
2022-08-13 10:27:42.377351,Credit Card Payment,Expense,292.0
2022-08-13 13:03:48.281334,Freight Shipping,Expense,389.38
2022-08-13 13:23:34.868370,Phone Bill,Income,495.67
2022-08-13 13:51:22.852918,Gifts & Cards,Expense,360.65
2022-08-13 14:15:40.278592,Software Subscription,Expense,257.92
2022-08-13 15:46:00.474820,Movie Theater,Income,121.69
2022-08-13 17:41:30.173882,Online Shopping,Income,159.43
2022-08-13 21:11:42.747587,Spotify Subscription,Income,467.82
2022-08-13 23:21:02.199399,Phone Accessory,Income,71.54
2022-08-14 03:36:21.611825,Flight Ticket,Expense,244.81
2022-08-14 15:45:08.110911,Property Tax,Expense,13.35
2022-08-14 18:32:38.674191,Job Training Fee,Income,461.77
2022-08-14 19:11:52.409749,ATM Fee,Income,180.54
2022-08-14 19:30:41.602397,Streaming Rental,Income,256.26
2022-08-14 20:42:10.864936,Concert Tickets,Expense,393.32
2022-08-14 23:26:24.931362,Internet Bill,Income,306.58
2022-08-15 02:33:47.608460,Weekend Getaway,Expense,15.93
2022-08-15 05:14:56.838179,Used Car Purchase,Income,220.46
2022-08-15 06:02:09.496212,Monthly Rent,Expense,133.69
2022-08-15 06:36:46.483616,Personal Trainer,Expense,42.92
2022-08-15 08:16:53.900895,Car Fuel,Expense,495.07
2022-08-15 08:59:26.243136,New Car Purchase,Income,249.57
2022-08-15 09:13:03.988263,Vacation Home Rental,Income,279.45
2022-08-15 10:25:45.877441,Wedding Gift,Expense,199.05
2022-08-15 10:27:58.379209,Tutoring Services,Income,252.38
2022-08-15 13:44:16.058838,Online Marketplace,Income,406.12
2022-08-15 16:55:44.893603,Storage Unit Rental,Income,217.09
2022-08-15 18:52:00.943515,Bicycle Repair,Expense,115.2
2022-08-15 20:08:04.162271,Uber Ride,Income,247.68
2022-08-15 20:40:27.955283,Medical Checkup,Income,306.26
2022-08-15 23:51:42.424308,Credit Card Payment,Income,135.14
2022-08-16 12:29:36.046987,Freelance Work,Income,39.28
2022-08-16 14:56:21.043573,Grocery Delivery,Income,168.81
2022-08-16 15:10:05.624591,Lottery Ticket,Expense,458.55
2022-08-16 17:26:55.848024,Travel Insurance,Expense,316.82
2022-08-16 18:47:40.127081,Resume Service,Income,324.98
2022-08-17 03:07:44.815680,Coffee Shop,Expense,60.28
2022-08-17 06:05:54.523039,Membership Fee,Income,454.39
2022-08-17 06:43:55.506011,Coffee Shop,Income,150.79
2022-08-17 08:00:20.893418,Gifts & Cards,Expense,153.56
2022-08-17 08:57:54.224907,Wedding Gift,Income,244.77
2022-08-17 08:58:08.070265,Hardware Store,Income,146.07
2022-08-17 10:25:24.594763,Hotel Stay,Income,17.7
2022-08-17 10:31:46.381814,Online Shopping,Income,23.85
2022-08-17 10:45:41.789792,Bowling Alley,Expense,371.12
2022-08-17 11:25:37.636646,Optometry Visit,Income,346.13
2022-08-17 12:17:49.222599,Netflix Subscription,Expense,393.2
2022-08-17 12:40:55.851820,Cabin Rental,Income,170.05
2022-08-17 15:32:24.357615,Weekend Getaway,Expense,140.24
2022-08-17 15:41:02.144227,Department Store,Expense,11.32
2022-08-17 16:24:42.679543,Membership Fee,Income,381.87
2022-08-17 19:31:05.344231,Art Gallery Purchase,Expense,125.05
2022-08-17 20:04:40.545909,Movie Theater,Income,168.4
2022-08-17 20:10:59.775324,Phone Accessory,Expense,318.6
2022-08-17 20:48:19.586869,Bail Bond Payment,Income,498.18
2022-08-17 23:15:58.885568,Insurance Payment,Expense,233.34
2022-08-17 23:56:47.229149,ATM Fee,Income,10.28
2022-08-18 00:41:17.548020,Childcare Services,Expense,195.7
2022-08-18 01:52:57.785363,Car Repair,Expense,13.78
2022-08-18 02:38:51.528500,Outdoor Equipment,Income,184.19
2022-08-18 02:55:27.338884,Hardware Store,Income,33.81
2022-08-18 04:10:18.799896,Vet Bill,Income,386.55
2022-08-18 05:40:04.259737,Medical Checkup,Expense,54.03
2022-08-18 06:00:35.474742,Coffee Shop,Expense,404.03
2022-08-18 12:01:38.343577,Business Expense,Expense,486.8
2022-08-18 13:34:19.900788,Bowling Alley,Income,311.95
2022-08-18 19:09:20.444450,Etsy Purchase,Expense,184.85
2022-08-18 21:18:17.749081,Department Store,Expense,223.21
